session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
60481,520,Groups,2921,43533,female,res,26.6,fiber_arts,92833810,1,1,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,native_english,92833809,2,0,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,hats,92833814,3,5,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,pets,92833811,4,Yes,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,colour,92833813,5,Red,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,spiders,92833815,6,1,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,Groups,2921,43533,female,res,26.6,exercise,92833812,7,today,2021-01-19 17:48:15,2021-01-19 17:48:31
60481,520,BMIS,2920,43533,female,res,26.6,neg_nervous,92833804,1,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_caring,92833797,2,1,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_peppy,92833803,3,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_tired,92833796,4,3,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_grouchy,92833802,5,4,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_sad,92833795,6,3,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_loving,92833806,7,3,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_lively,92833793,8,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_drowsy,92833801,9,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_fedup,92833807,10,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_content,92833798,11,1,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_jittery,92833800,12,1,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,neg_gloomy,92833799,13,3,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_calm,92833805,14,2,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_happy,92833794,15,4,2021-01-19 17:48:46,2021-01-19 17:49:07
60481,520,BMIS,2920,43533,female,res,26.6,pos_active,92833808,16,3,2021-01-19 17:48:46,2021-01-19 17:49:07
60495,520,BMIS,2920,31625,female,student,22.1,neg_gloomy,92833799,1,3,2021-01-19 18:25:53,2021-01-19 18:26:21
60495,520,BMIS,2920,31625,female,student,22.1,neg_drowsy,92833801,2,3,2021-01-19 18:25:53,2021-01-19 18:26:21
60495,520,BMIS,2920,31625,female,student,22.1,pos_content,92833798,3,3,2021-01-19 18:25:53,2021-01-19 18:26:21
60495,520,BMIS,2920,31625,female,student,22.1,neg_grouchy,92833802,4,2,2021-01-19 18:25:53,2021-01-19 18:26:21
60495,520,BMIS,2920,31625,female,student,22.1,pos_caring,92833797,5,2,2021-01-19 18:25:53,2021-01-19 18:26:21
